Messages,Start Date,District,Communication Channel,The message contains
some people said that when they took the first dose their hands become swelling and heavy so they are afraid to take the second dose,12/1/2022,Port Loko,Word of mouth,Concerns
"over 11.8 percent of workers in sierra leone have hiv, they have tested positive.",12/1/2022,Kambia,Radio,Concerns
people feel sick after taking covid-19 vaccine,11/30/2022,Bo,Word of mouth,Concerns
coronavirus is real,12/1/2022,Bo,Word of mouth,Information
some people are asking about the e p i number in the community,11/29/2022,Western Urban,Word of mouth,Information
some people are now taking the vaccine because nothing happen to them,12/2/2022,Western Urban,Word of mouth,Concerns
some people did not take the vaccine because they did not have time to take it,12/2/2022,Western Urban,Word of mouth,Concerns
hpv vaccine is safe,12/2/2022,Port Loko,Word of mouth,Information
the woman said she be afraid  to take  the  covid  19 vaccine because of she here they said that the vaccine is killing people but through sentization in the  community make her to take it,12/2/2022,Western Urban,Word of mouth,Concerns
the young boy at the age of 15 to 17 years said he well not take the covid 19 vaccine because the vaccine is for the old age,12/2/2022,Western Urban,Word of mouth,Misinformation
"one woman said one nurse at gbalamuya chc collected twenty leones (le20) to one newly lactating mother for the first maklate called bacillus gem bcg,she said the lactating mother came from pamalap guinea to take the first maklate for her young baby.and that time the lactating mother didn't have any single cent to pay the nurse until she borrowed le20  from her friend before her young baby maklated,",12/1/2022,Kambia,Word of mouth,Concerns
"one man said coranavirus in africa is not true,government just want to find a ways of finding money to campaigns people of sierra leone coming election 2023.in fact corana virus can be cured with gingers and garlic.because it cannot spreads in hot places.",12/1/2022,Port Loko,Word of mouth WhatsApp,Rumors
"one man said coranavirus in africa is not true,government just want to find a ways of finding money to campaigns people of sierra leone coming election 2023.in fact corana virus can be cured with gingers and garlic.because it cannot spreads in hot places.",12/1/2022,Kambia,Word of mouth WhatsApp,Rumors
if you are high blood pressure and you take the vaccine it will affect you,12/1/2022,Western Urban,Word of mouth,Concerns
one nurse said lactating womens and pregnant women's did not come for their children's routine maklate and even the pregnant womens didn't come for their antenal clinics anc especially when their is periodic day at guinea.,12/2/2022,Kambia,Market/Shops/Street Word of mouth,Concerns
a colera break out from yoni chiefdom,11/30/2022,Tonkolili,Word of mouth,Information
measles leads to blindness,12/1/2022,Kambia,Word of mouth,Information
ebola is a killer disease,12/2/2022,Kambia,Word of mouth,Information
ebola vaccines is good,12/2/2022,Kambia,Word of mouth,Information
community people say that nurses cannot reach them those in hard-to-reach community and therefore those people cannot take the vaccines if they do not see vaccination teams.,12/2/2022,Kambia,Word of mouth,Concerns
"a  school going girl colaps at school and about  to die, when they go for snap shot at the lincon accdemy masiaka town. and then brought at masiaka health facility for treatment.",12/3/2022,Port Loko,Word of mouth,Information
"according to bbc news, ebola affect people in london seriously",12/3/2022,Kambia,Radio,Rumors
i have breast affection after taken vaccine,11/14/2022,Bo,Word of mouth,Concerns
i heard that other disease have come in sierra leone,12/4/2022,Bo,Word of mouth,Rumors
i have chiefdom bylaw  to check  all the vaccination records  for us to complete taken the vaccine,12/4/2022,Bo,Word of mouth,Information
you have to be careful,11/26/2022,Bonthe,Word of mouth,Rumors
canibalizing is existing in Bonthe ,11/26/2022,Bonthe,Word of mouth Radio,Rumors
the president is not looking into action,12/4/2022,Bonthe,Word of mouth Radio,Rumors
climate has changed,12/4/2022,Bonthe,Word of mouth Radio,Information
infection of c-19 vaccine taking,12/4/2022,Port Loko,Word of mouth,Misinformation
i get fever after taking covid 19 vaccine,12/4/2022,Bo,Word of mouth,Concerns
covid-19 vaccination uptake is safe and reliable,12/3/2022,Port Loko,Word of mouth,Information
antranx is real,12/4/2022,Port Loko,Word of mouth,Information
"snake bite a girl at the age of thirteen years  when her mother sent her to go and  take cassava leave to their garden. she was about to die, and then brought to masiaka health facility for treatment.",12/4/2022,Port Loko,Word of mouth,Information
covid-19 vaccine is giving to 12 years old and above,12/4/2022,Bo,Public event Word of mouth,Information
"one man said after he went to greeted his brother wife,he got an information that their is one community health workers chw move from one community to the other with his bag and treated people with injections, hanging drips to the sick people and also fixed implants to the women's in the community,so that why people are not using a health facilities regularly as before.
he also said two weeks ago the same chw operated one child foot without given coloform  and child was actually fainted and they took the child to the hospital",12/2/2022,Kambia,Word of mouth,Concerns
get the hpv vaccine and protect girls against cervical cancer,12/4/2022,Bo,Flyers and printed materials,Information
after the my 9-month child take the marklate he got fever,12/5/2022,Bo,Word of mouth,Concerns
i got a swollen fingers when i took the covid 19 vaccine,11/27/2022,Bo,Word of mouth,Rumors
i got high fever at night when i took covid 19 vaccine.,11/30/2022,Bo,Word of mouth,Rumors
i wish the nurses will continue to bring the vaccine to our village for the aged who cannot walk to the hospital.,11/30/2022,Bo,Word of mouth,Concerns
"you cannot take covid-19 vaccine when sick, otherwise, it will worsen your health.",12/5/2022,Bo,Word of mouth,Misinformation
"we are begging the vaccinators to be coming here on every surge, we need this covid 19 vaccine.",12/5/2022,Bo,Social mobilization Activities Word of mouth,Concerns
i took covid-19 marklate and i feel headache,12/5/2022,Bo,Word of mouth,Concerns
"coronavirus is only active in oversea countries,  not in west africa countries, that is for now",12/5/2022,Kambia,Word of mouth,Rumors
"today another road accident along port loko high way, between  mafinda and bekeh curve village. a pregnant woman colaps  and brought at masiaka health facility for first treatment.",12/5/2022,Port Loko,Word of mouth,Information
covid-19 vaccination is safe and reliable,12/5/2022,Port Loko,Word of mouth,Information
"they said they will take the vaccine, but after the vaccine the want food to eat",12/5/2022,Western Urban,Word of mouth,Concerns
i hear that a man died after taking a vaccine.,11/5/2022,Bo,Word of mouth WhatsApp,Rumors
"covid 19 have help us to practice two  important   measures,  (1)  hand  washing   with soap  and  water.(2)  usesing  face masks  in    public   places.",11/24/2022,Kambia,Word of mouth,Information
corona disease is not real in sierra leone,12/6/2022,Kambia,WhatsApp,Rumors
corona disease is real,12/6/2022,Kambia,Word of mouth,Information
covid 19 vaccine is harmful to health,12/6/2022,Kambia,Word of mouth,Rumors
protect yourself and others from coronavirus,12/6/2022,Bo,Radio,Information
covid 19 has ended long since,12/6/2022,Western Urban,Market/Shops/Street Word of mouth,Misinformation
"a young boy said the corona is not in africa only in europe, america and china. so therefore he will not take the covid 19 vaccine",12/6/2022,Western Urban,Word of mouth,Rumors
"some young boys and girls at the age of 15-18 years they said, they wouldn't take the covid 19 vaccine because the vaccine is for only the elderly people",12/6/2022,Western Urban,Word of mouth,Misinformation
"the measles affect people across the district of kambia, the community people complain about the measles.",12/6/2022,Kambia,Word of mouth,Concerns
covid-19 vaccine taking is no more necessary as it's no more in africa.,11/24/2022,Bo,Market/Shops/Street Word of mouth,Misinformation
covid-19 has no place (does not exist) in bo.,11/27/2022,Bo,Public event Word of mouth,Misinformation
covid-19 cases have not been reported since over a year or two,11/30/2022,Bo,Market/Shops/Street Word of mouth,Rumors
"one community teacher said the cervical cancer called hpv affected some girls at the school, other girls reported the side effect after received marklate,like heavyweights of their hands and others reporting about swollen of hands etc
another teacher said the cervical cancer called hpv is not true because their is no cervical cancer in sierra leone,government just want to accept it to stop the girls not to have pregnancies in primary schools.",12/4/2022,Kambia,Word of mouth,Misinformation
other people believe covid-19 is man made disease,12/2/2022,Western Urban,Word of mouth,Misinformation
loss of appetite for some people after taking the covid-19 vaccine,12/7/2022,Western Urban,Word of mouth,Concerns
muscle pain for a few people after taking the vaccine,12/7/2022,Western Urban,Word of mouth,Concerns
some people did not have any side effects at all after taking the vaccine,12/7/2022,Western Urban,Market/Shops/Street Word of mouth,Information
covid-19 does not exist,12/7/2022,Kambia,Word of mouth,Misinformation
my arm got swollen when i took the covid 19 vaccine,12/5/2022,Bo,Social mobilization Activities Word of mouth,Concerns
i cannot take covid 19 vaccine because covid 19 disease has nothing to do with my immune system,12/7/2022,Bo,Word of mouth,Rumors
my arm got heavier when i received covid 19 vaccine,12/7/2022,Bo,Word of mouth,Concerns
my arm got very heavy when i took the covid-19 vaccine.,12/7/2022,Bo,Word of mouth,Concerns
a set of people at petifu junction said the covid-19 is real and they are ready to complete there booster doses,12/7/2022,Port Loko,Word of mouth,Information
their is awareness now in takeing the vacine. people are now takeing it more than before,11/24/2022,Western Urban,Word of mouth Other Social Media Flyers and printed materials,Information
the covid-19 vaccine is good to take but it has side effects .,12/7/2022,Western Urban,Word of mouth,Concerns
the covid-19 vaccine is good to take during outreach,12/7/2022,Western Urban,Word of mouth,Information
when he took the vaccine his upper arm get swollen so he decided not to take the second dose,12/7/2022,Western Urban,Word of mouth,Concerns
they will take the vaccine but they have to eat before going to take it,12/6/2022,Western Urban,Word of mouth,Concerns
"if he take injection he will sick, he really want to take the vaccine but that is the problem of him",12/5/2022,Western Urban,Word of mouth,Concerns
"yesterday seven people  colaps including  husband and  son at one called matunkor  at maforki chiefdom. after eating a food  prepered by his wife , others sent at port loko government hospital and some  brought at masiaka health facility for treatment.",12/7/2022,Port Loko,Word of mouth,Concerns
coronavirus is real,12/7/2022,Bo,Word of mouth,Information
government need to increase the age limit at least 15yrs for hpv marklate,12/7/2022,Bo,Word of mouth,Concerns
"government did not want corona to end in sierra leone, because, any month, the government bring surge in the community people, they ever bring supply to the people, like bags of rice and mount water well to the community people, they always bring sickness",12/7/2022,Kambia,Word of mouth,Rumors
ebola outbreak and the way they of berreal,11/4/2022,Tonkolili,Word of mouth,Concerns
fatu die when she take the corona marklate,11/4/2022,Tonkolili,Word of mouth,Rumors
the people of robossor said that they should not take covid-19 vaccine it will make them sick,11/4/2022,Tonkolili,Word of mouth,Concerns
goats  and  sheep   are   affected   by   skin   diseases    in  gbolon  community.,12/7/2022,Kambia,Word of mouth,Concerns
covid-19 vaccination is safe and reliable,12/6/2022,Port Loko,Word of mouth,Information
covid-19 will stay out of sierra leone,12/7/2022,Port Loko,Religious event Social mobilization Activities Word of mouth,Concerns
covid-19 vaccines,12/7/2022,Kambia,Word of mouth,Information
hpv vaccine,12/7/2022,Kambia,Word of mouth,Information
corona disease,12/8/2022,Kambia,Word of mouth,Information
"ebola vaccines is better than corona vaccines, simply because, after taking the ebola vaccine, they received certificate and forty( 40) leones, but corona, nothing. that is the statement of the community people",12/8/2022,Kambia,Word of mouth,Concerns
covid-19 vaccination is safe,12/8/2022,Port Loko,Social mobilization Activities Market/Shops/Street Word of mouth,Information
covid-19 vaccination uptake is everywhere in sierra leone,12/9/2022,Port Loko,Social mobilization Activities Word of mouth,Concerns
"puting puting c-19 vaccine in the nosering of people and giving them le 20,000.",12/5/2022,Bombali,Word of mouth,Rumors
people are taking the vaccine but no card are given to them,12/9/2022,Western Urban,Word of mouth,Concerns
"because the vaccine card is important i will take the covid-19 vaccine so i can have the card, but i will not take the second dose again",12/8/2022,Western Urban,Word of mouth,Concerns
"a vehicle from kailahu along bo high way got an accident in a village near by masiaka community, the driver died on the spot and seven others are seriously injour. brought to masiaka health facility for first aid treatment, and refer to free town.",12/9/2022,Port Loko,Word of mouth,Information
"another road accident along port loko high way a trailer with 40 ft container summer sult ,and the driver on the spot.",12/9/2022,Port Loko,Word of mouth,Information
corona vaccination card,12/9/2022,Western Urban,Public event Word of mouth,Concerns
covid 19 vaccine is just a way of camouflage to we,12/8/2022,Western Urban,Market/Shops/Street Word of mouth,Misinformation
covid-19 is not real in sierra leone,12/9/2022,Western Urban,Market/Shops/Street,Rumors
a set of people at manika ataya base said they have completed their booster dose of covid-19,12/9/2022,Port Loko,Word of mouth,Information
the people of kalangbeh wallah said when they take the first dose of the vaccine their hand become heavy and swelling so they are afraid to go in for the second and booster doses,12/9/2022,Port Loko,Word of mouth,Concerns
some people said they are not going to take the vaccines because they don't believe in covid-19 disease,12/9/2022,Port Loko,Word of mouth,Misinformation
people that are positive of covid19 said that the vaccine is not existing,12/9/2022,Kambia,Word of mouth,Rumors
covid-19 vaccine can cause dizziness,12/9/2022,Western Urban,Market/Shops/Street Word of mouth,Concerns
some people are taking the send does vaccine now,12/7/2022,Western Urban,Word of mouth,Concerns
some aged member of the community realize the elimination of longtime pain in their system after the innoculation,12/9/2022,Western Urban,Word of mouth,Information
few experience itching hence they refuse the second dose,12/9/2022,Western Urban,Word of mouth,Concerns
"lassa fever is a danger to africa countries, especially sierra leone which has recorded some cases",12/9/2022,Kambia,Radio,Concerns
anthrax disease,12/10/2022,Kambia,Word of mouth,Rumors
fire burn four houses,12/10/2022,Kambia,WhatsApp,Concerns
"no bye laws, no covid-19.",12/2/2022,Bo,Word of mouth,Misinformation
it's a lie to say there's still covid-19 affecting people in china.,12/9/2022,Bo,Market/Shops/Street Word of mouth,Misinformation
i was attacked by fever when i took the covid 19 vaccine .,12/10/2022,Bo,Word of mouth,Concerns
covid 19 vaccination is on going and people should take their marklate,12/10/2022,Kono,Social mobilization Activities Radio SMS WhatsApp,Information
i no go take corona marklate because coronavirus have finished in sierra leone,12/9/2022,Bo,Word of mouth,Misinformation
"a motobike hit a man and break his right foot , along bo high way at a village called maseray  his way returning back to his house after the juma prayer. and then brought at masiaka health facility for first aid, and later refer to free town.",12/10/2022,Port Loko,Word of mouth,Information
"a pregnant woman was given native habrs for delivery, at one village in lower koya chiefdom. on that event she die. and then brought at masiaka health facility. then the victim is at the hands of the police for investigation.",12/10/2022,Port Loko,Word of mouth,Information
when the covid-19 vaccination surges will end,12/10/2022,Port Loko,Social mobilization Activities Word of mouth,Concerns
heard about malaria trial in kambia district on slbc,12/10/2022,Kambia,Radio,Concerns
i experienced severe headache when i took covid 19 vaccine.,12/10/2022,Bo,Word of mouth,Concerns
my arm got heavy when i took the covid-19 vaccine.,12/10/2022,Bo,Religious event Word of mouth,Concerns
covid-19 vaccine is safe and it can protect you from contacting the covid-19 disease.,12/10/2022,Bo,Religious event Word of mouth,Information
"my daughter got affected by the last hpv vaccine, i won't allow her take it again.",12/10/2022,Bo,Religious event Word of mouth,Concerns
a sardine called anny is on market for sale and has started killing people,12/10/2022,Western Urban,WhatsApp,Rumors
covid 19 is not real in sierra leone,12/10/2022,Western Urban,Market/Shops/Street,Rumors
covid 19 vaccine has side effects,12/10/2022,Western Urban,Market/Shops/Street,Concerns
"ebola killed thousand of people in sierra leone but after two years ends. corona is not real in sierra leone, the government just want to make money",12/11/2022,Kambia,Word of mouth,Rumors
covid-19 vaccination is still available for all sierra leonean,12/11/2022,Port Loko,Social mobilization Activities Market/Shops/Street Word of mouth Radio WhatsApp,Information
antrax is real,12/12/2022,Port Loko,Social mobilization Activities Market/Shops/Street Word of mouth,Information
they are tired of taking the covid-19 vaccine,12/12/2022,Western Urban,Word of mouth,Concerns
"one man said the sierra leone people party government is good because the president did not introduce funds to the people for coronavirus fight,that why coronavirus didn't kill many people in sierra leone like how ebola killed people.the former president poor more money to the people and many people died off ebola, with innocent lives was losted in 2014.",12/12/2022,Kambia,Word of mouth,Misinformation
"during ebola time, the people did not use face mask, the people live their life with out face mask, but in this coronavirus, the government force people about face mask, taking money to the innocent people.",12/12/2022,Kambia,Word of mouth,Concerns
i can't take hence there's no covid-19 💉 in sierra leone.,12/10/2022,Bo,Public event Word of mouth,Misinformation
i won't take covid-19 💉 except what was given at my birth. if i get sick i will go to the hospital.,12/13/2022,Bo,Social mobilization Activities Word of mouth,Concerns
covid-19 vaccine can make people feel tired or weakness and can not prevent nothing,12/13/2022,Kambia,Word of mouth,Misinformation
"yesterday a motobike rider hit a toyota van at the back, in the car park. the motor bike rider break his foot into two, and then brought at masiaka health facility for first aid treatment then refer to free town.",12/13/2022,Port Loko,Word of mouth,Information
"a snake bite a woman in lower koya chiefdom, when she go and find wood for cooking. before taking her to the hospital for treatment she passed off.",12/13/2022,Port Loko,Word of mouth,Information
"according to radio kolenten and mahopenet, hiv and aids is rampant in border area and district of kambia",12/13/2022,Kambia,Radio,Concerns
"the health workers distribute oncho tablet to the pupils of sunday foundation secondary school for girls, kambia town",12/14/2022,Kambia,Social mobilization Activities,Concerns
ebola vaccines,12/14/2022,Kambia,Word of mouth,Information
measles,12/14/2022,Kambia,Word of mouth,Information
covid-19 is more dangerous than ebola,12/13/2022,Port Loko,Word of mouth,Concerns
there is no covid-19 vaccine that is good for people it's a lie to the country.,12/14/2022,Kambia,Word of mouth,Rumors
covid-19 vaccination is safe and reliable,12/14/2022,Port Loko,Word of mouth,Information
"today at around 1:00 pm, i paid a visit at masungbala community near the great scarcies river,where i saw one old woman preparing brooms,and she started asking questions to one nurse by say this year no distribution of oncho called ivermectin tablets,they want to take the oncho tablets. 
one woman said she is getting fear to take the oncho tablets, because of the the swelling of feet's or hands especially this time of hardship in the country if you feel any parts of the body without having money to go to the hospital, death will take place because their is no enough drugs at the center, and she also added say the time when ebola outbreak in sierra leone she took oncho four tablets and she was sicked, and she said she was ran away from the community and hidden to his brother at bubuya community, and she said she was feared of ebola preventive measures like calling of ambulances, quarantined the whole house,and they sprayed cholorines all over to kill the entire people in that quarantined homes that why people are died off ebola, so now she's praying for ebola not to comeback in sierra leone.",12/12/2022,Kambia,Word of mouth Other,Misinformation
"government of sierra leone should stop giving fake rappid coronavirus vaccinations to the people.because their is no coronavirus in sierra leone, now the european countries where this coronavirus started, and they were now tired of covid-19 vaccinations and even the preventive measures.but sierra leone people like to put politics before to punish the innocence ones.",12/14/2022,Kambia,Word of mouth WhatsApp,Misinformation
covid-19 vaccine surg  15  have started today at masiaka health facility and it's catchment communities. people are fully participate with no fear.,12/15/2022,Port Loko,Word of mouth,Information
"they will take the vaccine, but before going to take the vaccine they need food",12/13/2022,Western Urban,Word of mouth,Concerns
they will take the vaccine for the important of the card,12/14/2022,Western Urban,Word of mouth,Concerns
when he take the covid-19 vaccine injection he will be sick,12/15/2022,Western Urban,Word of mouth,Concerns
"ebovac saloon have vaccines trial in kambia district, they gave vaccines to the community people",12/15/2022,Kambia,Word of mouth,Information
"today i saw one pregnant woman and two caregivers at the street between mafaray to bankuro,they said they just leave at the mafaray chc so they are heading to their community.
one caregiver said now the nurses always told them that their is no sufficient drugs at the center and also the marklate given to their children lead to other sickness to the children like children crying a whole of the day,no sleeping and sometimes children toilet and swelling of legs and upper arms.so if the child has one of those side effects how a mother can take his child for marklate.",12/14/2022,Kambia,Word of mouth,Information
after taking covid-19 vaccine i feel good,12/8/2022,Bo,Word of mouth,Information
after taking covid-19 vaccine fever attack me,12/16/2022,Bo,Word of mouth,Information
after taking covid-19 vaccine i feel safe,12/16/2022,Bo,Word of mouth,Information
forcing me to take vaccine then there's a huge problem after it.,12/13/2022,Bo,Public event Market/Shops/Street Word of mouth,Misinformation
government are to provide hpv marklate to all girls children's at age of 10 years to 14 years old,12/10/2022,Bo,Public event Word of mouth,Concerns
after taking covid-19 vaccine his harm became so heavy,12/16/2022,Bo,Public event Word of mouth,Concerns
the intake of the covid-19 vaccine in tonkolili district magburaka town,11/4/2022,Tonkolili,Social mobilization Activities,Information
suspected measles,12/3/2022,Tonkolili,Word of mouth,Concerns
skin disease to  all the  domestic animals of madusia village (goats and sheep),12/16/2022,Tonkolili,Word of mouth,Concerns
"many communities people complain of eyes problem, especially those that doing farm work.",12/16/2022,Kambia,Word of mouth,Concerns
"one caregiver said when  she went to the hospital she met a lot of pregnant woman for antenatal clinic and she said the nurse told her that today is a day for the pregnant woman,so let her return back to where he came  from and she  said she was having five thousand leones   is just to treat her son but the nurses told him to complete the money twenty thousand leones to have an injection for her son, and she said the nurse told her where cow is tied is the area cow can be feed on(wusai den tie cow  na dae edae eat,,)",12/15/2022,Kambia,Word of mouth,Concerns
"surge 15 for covid-19 is still in progress at masiaka health facility and its catchment communities. and people are fully participate, because they said that the vaccine prevent covid-19",12/17/2022,Port Loko,Word of mouth,Information
"fire accidents occured today at madina tonkolimba chiefdom kambia district, and the power station was destroyed",12/17/2022,Kambia,WhatsApp,Information
"the government of sierra leone try to put things in place, for those who misused drugs, especially kushe, tm etc, according to the announcement, anyone that they catch will suffer",12/18/2022,Kambia,Radio,Information
all of covid 19 signs and symptoms were existing before.,12/1/2022,Bo,Word of mouth,Rumors
no covid-19 vaccine can stop disease,12/19/2022,Kambia,Word of mouth,Misinformation
"yesterday a woman deliver at home at one community in koya chiefdom, after then cervix bleeding occur and then brought at masiaka health facility for treatment.",12/19/2022,Port Loko,Word of mouth,Information
bitter denial about the existence of covid 19,12/18/2022,Western Urban,Word of mouth,Misinformation
after taking vaccine i feel safe,12/19/2022,Bo,Word of mouth,Information
"if you are pressure patience and you take the covid-19 vaccine, your pressure with shurt up",12/19/2022,Western Urban,Word of mouth,Concerns
the early pregnancy is become alarming in kambia district,12/19/2022,Kambia,Word of mouth,Concerns
"thirty minutes ago, a big accident occur at rogberay bridge, where a drive killed one ons.",12/19/2022,Kambia,Word of mouth,Concerns
"a man just die in an hour ago, in a village called robis 2. he surfer from a blockage infection for three days ago from a village called magbelay lol, and then brought to a traditional hiller at robis 2 koya chiefdom port loko district.",12/20/2022,Port Loko,Word of mouth,Information
"today the nurses at mafaray chc pay a visit at bassia branch of mafaray to give covid-19 vaccinations to the people.and the nurse told the people to assemble with their vaccinations cards because they only came to give people that are just takes their first and second doses of covid-19.
and one lactating mother said she will not take covid 19 vaccine because she knows how the vaccine affected her when she took the first dose,she said her right hand was became heavy and swelling for three days and she sick seriously at kangbahor community,so now if she sees covid-19 vaccine she fear to take it because of side effects and the nurses hands are very hards.",12/20/2022,Kambia,Word of mouth,Information
"phu staff give covid 19 vaccinations to the people, while government of sierra leone has just declared covid 19 is free. the health workers just want to give another sickness to the people,",12/20/2022,Kambia,Word of mouth WhatsApp Facebook,Rumors
"one man said the outbreak of cholera in 2012 at mafaray town dixon chiefdom is artificial  man made because the one whole iman was the first person contacted the cholera before others people affected,so before the coming of health personnel a lot of people contacted and no death because people that are affected was reported directly to mafaray chc, and other refered to dhmt.
another one said a chameleon was died at the stream and people just drank the water, and causes diarrhoea with stool and vomiting  not a cholera.
another one said it is cholera because people didn't want to take care of food and environment but cholera can be got through eating a faes or dirty food or drinking water that is contaminate.",12/19/2022,Kambia,Word of mouth,Misinformation
"health workers continue to focus on covid 19 that why they give vaccinations to the people, but  coronavirus is no more in sierra leone. the president does not want to released covid 19 money to give to people and keeps the covid 19 money to campaign.",12/16/2022,Kambia,Word of mouth WhatsApp,Misinformation
there is a measles outbreak out from kholifa mabang tonkolili,12/2/2022,Tonkolili,Word of mouth,Information
the vaccine is fake,12/21/2022,Kambia,Word of mouth,Rumors
they said that people say surge 14 is the last covid-19 vaccination for sierra leone,12/21/2022,Kambia,Word of mouth,Rumors
one man said yesterday he was innoculated against covid 19 vaccine and he feel better because the vaccine give him more power to do his farm work.and he only feel his upper right hand heavyweight for the moment but it has become easy.,12/20/2022,Kambia,Word of mouth,Information
"who praise sierra leone for its good work done, that is, sierra leone gave covid-19 vaccine to about 70 the percent of the population",12/21/2022,Kambia,Radio,Concerns
"one imam said this covid 19 has rappid vaccinations surge 1,2,3,4,5,6,7,8,9 to surge15,infact the nurses are paid a huge amount of money that why they visit people fast to vaccinate people,
and he also said maybe the nurses are pay a huge amount of money to have a way of collecting blood to the people.",12/21/2022,Kambia,Word of mouth,Misinformation
"sierra leone achieved 71.2 percent of covid vacation, in sierra leone",12/23/2022,Kambia,Radio,Information
accident occur between mile 38 and masiaka highway,12/22/2022,Port Loko,WhatsApp,Concerns
"one cannot be cured by force, no truth in covid19 vaccine.",12/4/2022,Bo,Word of mouth,Misinformation
"a motobike rider with one hite by an unknown vehicle,and they're seriously sustain injury from different parts of their body. then brought to masiaka health facility for first aid treatment, and refer to free town.",12/24/2022,Port Loko,Word of mouth,Information
"other surge is ongoing in various chiefdom, in kambia district, and communities people said that they are tired with vaccines.",12/24/2022,Kambia,Word of mouth,Concerns
"according to the communities people in gbinleh chiefdom, they said that, the oncho affect many people in this year, the oncho make people sick seriously",12/25/2022,Kambia,Word of mouth,Concerns
"one cookery woman said ebola is more killer than coronavirus, because since the starting of coronavirus no ambulances and quarantined homes.
but ebola virus the fearness of ambulances with a sounds wa.o.wa.o meaning you are going to killed with the sprayed cholorines inside the ambulances killed many innocent lives.",12/25/2022,Kambia,Word of mouth WhatsApp,Misinformation
"one man said sierra leone is still behind interns of food and health. he said now there is no price controls and everyday the bag of rice is going high same thing goes to health now the nurses always said their is not enough drugs at the center and the small drugs given to the hospital are also sold to the community people with high amount of money.  when they say free health care, free death because if someone goes to the hospital without having enough amount of money to pay he or she will end up to dead. nurse are now involves in selling drugs to the pharmacist people.",12/25/2022,Kambia,Word of mouth WhatsApp,Concerns
covid-19 vaccine is not effective in sierra leone,12/11/2022,Western Urban,Market/Shops/Street,Rumors
"covid-19 vaccines have started to expire, but the ministry keep them.",12/12/2022,Western Urban,Market/Shops/Street,Concerns
ebola outbreak is around guinea so there is possibility to have it in sierra leone,12/13/2022,Western Urban,Word of mouth,Concerns
first dose of covid vaccine is too heavy,12/14/2022,Western Urban,Word of mouth,Concerns
covid 19 vaccination for now is just a result acquiring,12/15/2022,Western Urban,Market/Shops/Street,Rumors
covid 19 is not serious in africa,12/17/2022,Western Urban,Word of mouth,Rumors
"an old man was hit  by unknown vehicle and  was seriously injour, and then brought at masiaka health facility for treatment.",12/26/2022,Port Loko,Word of mouth,Rumors
"a forty years old man, abu bakar kamara, killed his wife for sex in the morning, according to report",12/24/2022,Western Rural,Other Social Media,Concerns
the hpv vaccine is really good for girls children therefore government and partner need to provide for this age categories from 10 years old to 14 years.,12/16/2022,Bo,Public event Word of mouth,Concerns
"a young woman was hit by a vehicle today at port loko high way, and she was seriously injured and brought to masiaka health facility for first aid treatment, and then refer to freetown.",12/27/2022,Port Loko,Word of mouth,Information
"bbc reported about the fire accidents that occur in goderich, freetown, sierra leone, and according to the report, many houses burnt down",12/27/2022,Western Urban,Radio,Information
they want to take the vaccine but don't have time to go to the health center,11/9/2022,Western Urban,Word of mouth,Information
when her sister take the vaccine his upper arm get soiled so his father tell everyone not to take the second dose again,12/23/2022,Western Urban,Word of mouth,Concerns
if you are pressure patience and you take the vaccine it will affect you,12/26/2022,Western Urban,Word of mouth,Concerns
if you have asthma and you take the vaccine it will affect you & if they do not handle it quickly you will die,12/27/2022,Western Urban,Word of mouth,Concerns
if you have blood pressure and take the vaccine it will affect your system,12/28/2022,Western Urban,Word of mouth,Concerns
covid,12/28/2022,Western Urban,Word of mouth,Information
"a woman was severely flocked by her husband in a community called ropollon in koya chiefdom. when he suspected that his wife had a boyfriend, he uproot her plants on her head, and injured her face. then she was brought to masiaka health facility for treatment and the husband is in the hands of the police for investigation.",12/28/2022,Port Loko,Word of mouth,Information
"covid 19 is not real, its just a way of making money.",12/18/2022,Western Urban,Market/Shops/Street,Rumors
covid 19 is not in sierra leone,12/19/2022,Western Urban,WhatsApp,Rumors
covid 19 vaccine is not a real vaccine to stop the corona virus,12/20/2022,Western Urban,Word of mouth,Rumors
covid 19 is a provocation to ebola disease.,12/21/2022,Western Urban,Market/Shops/Street,Misinformation
the border of sierra leone and guinea needs a task/x force that can prevent ebola affected people to enter in the country.,12/22/2022,Western Urban,Word of mouth,Information
ebola vaccine needs to be given to people before the outbreak comes back in sierra leone.,12/23/2022,Western Urban,Word of mouth,Information
ministry of health must empower those who are carrying out the sensitization to the communities.,12/24/2022,Western Urban,Market/Shops/Street Word of mouth,Information
covid 19 restrictions have negatively impacted our daily life and movement,12/25/2022,Western Urban,Market/Shops/Street Word of mouth,Concerns
covid 19 has ended in sierra leone,12/26/2022,Western Urban,Market/Shops/Street Word of mouth WhatsApp,Rumors
covid 19 vaccine is very offensive at first dose.,12/27/2022,Western Urban,Word of mouth,Concerns
covid 19 vaccine has no use again to us,12/28/2022,Western Urban,Word of mouth,Rumors
"who declared ebola outbreak in uganda and sudan,",12/28/2022,Kambia,Online newspapers,Information
nurses are giving marklate to under-five children without community people's consent.,12/29/2022,Kambia,Word of mouth Radio WhatsApp,Concerns
nurses were paid a huge amount of money in december to inject people resistant with covid-19.,12/29/2022,Kambia,Word of mouth,Rumors
